n,seconds
1,0.0000068610
2,0.0000030820
3,0.0000029850
4,0.0000035860
5,0.0000042040
6,0.0000045270
7,0.0000052000
8,0.0000059140
9,0.0000071780
10,0.0000080200
11,0.0000086240
12,0.0000094380
13,0.0000102650
14,0.0000111480
15,0.0000123930
16,0.0000131780
17,0.0000143690
18,0.0000154920
19,0.0000165720
20,0.0000177820
21,0.0000194450
22,0.0000204730
23,0.0000212620
24,0.0000227870
25,0.0000246320
26,0.0000259770
27,0.0000274710
28,0.0000294210
29,0.0000309080
30,0.0000326990
31,0.0000340690
32,0.0000356300
33,0.0000375400
34,0.0000394630
35,0.0000409630
36,0.0000425230
37,0.0000446580
38,0.0000466310
39,0.0000491540
40,0.0000509210
41,0.0000527570
42,0.0000552100
43,0.0000573380
44,0.0000598020
45,0.0000614570
46,0.0000641290
47,0.0000661780
48,0.0000682040
49,0.0000710910
50,0.0000729850
51,0.0000752750
52,0.0000785780
53,0.0000810470
54,0.0000847380
55,0.0000881680
56,0.0000913030
57,0.0000941930
58,0.0000967610
59,0.0000995580
60,0.0001019140
61,0.0001055010
62,0.0001079940
63,0.0001112430
64,0.0001147110
65,0.0001185680
66,0.0001224640
67,0.0001248170
68,0.0001292170
69,0.0001333770
70,0.0001365880
71,0.0001396090
72,0.0001448000
73,0.0001483610
74,0.0001529140
75,0.0001562250
76,0.0001606610
77,0.0001649980
78,0.0001688280
79,0.0001733240
80,0.0001776780
81,0.0001815990
82,0.0001863210
83,0.0001896140
84,0.0001934060
85,0.0001980420
86,0.0002028330
87,0.0002074140
88,0.0002114480
89,0.0002566820
90,0.0002549700
91,0.0003612970
92,0.0002746080
93,0.0002526780
94,0.0003150510
95,0.0002446530
96,0.0002496580
97,0.0002543430
98,0.0002603960
99,0.0002664510
100,0.0002712520
101,0.0002759380
102,0.0003385280
103,0.0002867830
104,0.0002920090
105,0.0002955970
106,0.0003001810
107,0.0003266980
108,0.0003198520
109,0.0003255060
110,0.0003300720
111,0.0003367000
112,0.0003424760
113,0.0003487140
114,0.0003921150
115,0.0003612430
116,0.0003697860
117,0.0003743150
118,0.0003786890
119,0.0003840560
120,0.0003903300
121,0.0003979150
122,0.0004081910
123,0.0004113250
124,0.0004178760
125,0.0004240440
126,0.0004286970
127,0.0004348340
128,0.0004396590
129,0.0004484740
130,0.0004536620
131,0.0005071510
132,0.0004563750
133,0.0004631480
134,0.0004679440
135,0.0004768480
136,0.0005549420
137,0.0004872690
138,0.0004962420
139,0.0005009190
140,0.0005076940
141,0.0005121900
142,0.0005224290
143,0.0005286560
144,0.0005329420
145,0.0005411450
146,0.0005469860
147,0.0005534350
148,0.0006367220
149,0.0005715140
150,0.0006208160
151,0.0006432730
152,0.0005963710
153,0.0006014570
154,0.0006066360
155,0.0006153210
156,0.0006227560
157,0.0006296780
158,0.0006383250
159,0.0006457140
160,0.0008287860
161,0.0006750580
162,0.0006652730
163,0.0006730010
164,0.0006820180
165,0.0006916440
166,0.0006993930
167,0.0007447540
168,0.0007158710
169,0.0007234740
170,0.0007303140
171,0.0007383640
172,0.0008230690
173,0.0007543390
174,0.0007618470
175,0.0007704520
176,0.0007808120
177,0.0007917520
178,0.0007996970
179,0.0008076450
180,0.0008164790
181,0.0008250230
182,0.0008336310
183,0.0008420330
184,0.0008498510
185,0.0008557820
186,0.0008643580
187,0.0008737600
188,0.0008807570
189,0.0008927300
190,0.0009002330
191,0.0009831090
192,0.0009184240
193,0.0009645780
194,0.0010224450
195,0.0010231870
196,0.0009598090
197,0.0009667640
198,0.0009755990
199,0.0009863000
200,0.0009950770
201,0.0010021380
202,0.0010133110
203,0.0010245800
204,0.0010389450
205,0.0010461180
206,0.0011313100
207,0.0012335080
208,0.0011943200
209,0.0011401330
210,0.0010975950
211,0.0011101970
212,0.0011219400
213,0.0011294660
214,0.0011375230
215,0.0011459440
216,0.0014012370
217,0.0013187660
218,0.0011766510
219,0.0011852280
220,0.0011937050
221,0.0013701170
222,0.0012166970
223,0.0012316310
224,0.0012854350
225,0.0012803640
226,0.0012904420
227,0.0013014420
228,0.0013506170
229,0.0013641790
230,0.0013365990
231,0.0013410340
232,0.0013215710
233,0.0014492430
